content,label
"Chị đặt một cái green này nhé , size M_Thanks em",ordering
"sample: [Cho m 1 sinh tố cam xoài. 1 matchiato matcha, 1 sinh tố dâu ổi. Đều sz M ạ.,Cho mình 1 sinh tố cam xoài. 1 matchiato matcha, 1 sinh tố dâu ổi. Đều size M ạ.]",ordering
Áo nam hay nữ vậy ạ ? Áo nam thì shop ship cho em 1 áo ghi size 150 ,ordering
cho một trà chanh size m,ordering
cho một cốc cà phê nâu nóng size vừa,ordering
cho thêm 1 trà chanh đá size s,ordering
 Làm cho em 1 ly yakul xoài size m có thêm thạch matcha tý 9h e về qua lấy dkd k ạ .,ordering
Cho chị order 1 set size S màu nâu nhé .,ordering
"Huyen_Vu ơi , order cho em bộ xanh size s : )",ordering
Cháu đăt cho cô áo sơ_mi kẻ vàng size m nhé,ordering
" À, cho mình 2 size L nhé .",ordering
Mình lấy áo này size S.0983153019,ordering
"cho mình màu nâu size S , mẹ mình cao 1m5 chắc mặc size S vừa",ordering
 Bạn ơi ship cho mình 1 trà sữa bạc hà size M nhiều trân châu nha .,ordering
"chị ui!để luôn cho em1 đỏ mận size S , nâu size XS!nhớ nhớ đó!xong ship luôn vào đống adidas cho em nhé",ordering
 Ship cho mình 1 trà sữa milk tea size m thêm nhân rau câu nhé. .,ordering
" Cho e 2 trà sữa bạc hà, 1 dâu size lớn. Tất cả đều thêm trân châu. .",ordering
" Bạn ơi ship cho mình 3 cốc trà sữa 3 anh em, 70% đường, size M .",ordering
"Còn đặt được không bạn ? Nếu có cho mình đặt một cái này màu navy 69 , size 110 nhé",ordering
mình dặt áo cam size m ,ordering
"cho em cái màu xanh size M ạ , xanh nhạt ý ạ",ordering
cho mình 1 cà phê đen đá size s và 1 cà phê đen đá size m vào đơn hang,ordering
cho một toffee hạnh nhân size s,ordering
" ok 3 toco panda, large size .",ordering
cho 2 cà phê sữa đá size small và 2 ly cà phê sữa đá size regular,ordering
cho mình 1 trà nho đen nóng size small và 1 trà nho đen nóng size regular,ordering
 em đặt 3 trà sữa vị trà xanh size vừa ak .,ordering
1 mojito chanh tươi size regular,ordering
 2 size l.1 size m nhé .,ordering
Cho minh mau hong size M ban nhe !,ordering
"Shop ơi chị lấy cái mầu Gray size S nhé , em đưa vào tài khoản của chị , lúc_nào có hàng của chị về thì chị lấy cùng nhé",ordering
 Cho m size M .,ordering
Chị lấy 3 cái này size XL nhé,ordering
"Cho mình đặt NAVY size M nhé . Ship số 1 Quang_Trung , Hànội .",ordering
cho 1 cốc cookies đá xay size lớn đến 83 duy tân hà nội,ordering
1 espresso đá   size regular,ordering
Mình muốn lấy 1 áo size 140 không màu blue . Phòng vé 1 quang trung hoàn kiếm hà nội 0989998575,ordering
Cho chị cái Gray size XL nhé,ordering
"Mình đặt cái này màu xanh , size 53 nhé",ordering
1 latte nóng size regular,ordering
 Cho e  một hồng trà kem phô mai size m vs ạ .,ordering
cho mình 1 cappuchino nóng size m,ordering
cho mình một mocha size small và 1 mocha size regular,ordering
Minh muon dat Cái này size 140cm ,ordering
ban oi minh oder 1 cai màu trắng size 32 của nữ nhe,ordering
 Và 1 cốc size L vị hokkaido như trên cho em vs ạ .,ordering
"sample: [B ơi ship cho m 1 trà sữa bạc hà size M nhiều trân châu nha,Bạn ơi ship cho mình 1 trà sữa bạc hà size M nhiều trân châu nha]",ordering
" Trà sữa ba anh em , size L .",ordering
cho một cốc lattee nóng size nhỏ,ordering
"Chị muốn order size 130 , về trước tết không em ?",ordering
"cho chị đặt bộ mẫu hoa vàng , size L , mang qua 17 Ngô_Quyền nhé",ordering
1 sinh tố dâu ổi size regular,ordering
Cho mình cái này size S nhé .,ordering
Tớ đặt một đôi size 37 nhé bạn Nhật_Quang,ordering
 Mình muốn mua 5 cốc trà sữa vị hokkaido size L .,ordering
3 cốc Espresso Nóng size small,ordering
cho một trà xanh size m,ordering
Anh lấy cái áo trên hình demo của em . size s nhé .,ordering
cho một cốc latte nóng size nhỏ,ordering
cho một black tea macchiato size small,ordering
Cho mình đặt 1 chiếc màu xanh navy size XL nhé,ordering
 Em 1 machiato hồng trà size L .,ordering
1 mocha đá size regular  ,ordering
Ban oi minh dat 1 Chiec size L nhe,ordering
cho mình order 1 set mầu trắng cổ tròn size M ,ordering
"Đặt cho cô áo_khoác lông cừu nữ size s màu tím nhé , link áo không vào được đâu",ordering
cho mình 1 black tea macchiato size small,ordering
Cho mình đặt 1c nhé .,ordering
Mình lấy 1cái này màu như hình size 150 nhé!0982948084,ordering
Shop cho mình 1 màu mận size S nhé . Mui Nguyen_Thi có mua áo này k ?,ordering
 Cho 2 sz L .,ordering
"Chị đặt một cái green này nhé , size M_Thanks em",ordering
1 soda việt quất size regular,ordering
1 sinh tố cam xoài size regular,ordering
"Bạn ơi mình chuyển khoản cho bạn rồi nhé. mình lấy 1 màu ghi, 1 màu xanh tím_than size M nhé.số điện thoại 0986231568",ordering
cho một latte nóng size nhỏ,ordering
"Chị ơi , còn sale không ạ . Em lấy 1 màu trắng , size 160 ",ordering
Đặt size 35 màu đen shop,ordering
"bạn ơi 2 cái navy sai M và 1 cái navy size XL, bạn nhé số điện thoại của mình là 0985955858 có gì thì bạn nhắn lại vào facebook cho mình nhé , áo trần trám cho nam bạn nhé",ordering
Cho mình size L ,ordering
cho mình 1 trà chanh đá size regular và 1 latte đá size regular,ordering
 Tất cả đều size M nhé  ,ordering
cho một trà đen váng sữa size s,ordering
1 espresso sữa nóng size regular,ordering
 Và 1 cốc size L vị hokkaido như trên cho em với ạ .,ordering
cho một trà xanh đá xay size m,ordering
 3 cốc boba size m nhé .,ordering
 Cho e 1 macchiato matcha và macchiato trà xanh size M .,ordering
cho mình thêm 1 trà nho đen size m,ordering
Shop ship cho em cái này size M nhé,ordering
1 toffee hạnh nhân nóng size regular,ordering
cho mình thêm 1 trà nho đen size m,ordering
1 caramel đá xay size regular,ordering
cho tôi một cốc capuchino size vừa,ordering
1 mocha hạnh nhân đá size regular,ordering
cho minh dat cai size S mau hong nhe,ordering
cho mình 1 cà phê sữa đá size small và 1 cà phê sữa đá size regular,ordering
cho thêm 1 trà đào cam sả size small,ordering
" Cho e 1 trà xanh chanh quất mật ong,tsữa dưa gang,yaku xoài size lớn hết .",ordering
tớ 1 áo khoác chống nước màu navy size m,ordering
"sample: [Làm cho em 1 ly trà đào cam sả size m có thêm thạch matcha tý 9h e về qua lấy dk k ạ,Làm cho em 1 ly trà đào cam sả size m có thêm thạch matcha tý 9h em về qua lấy được không ạ]",ordering
"Cho mình 1 đỏ size m nhé , Việt_Nhung",ordering
1 tách Americano Đá size small,ordering
Em đăng_ký 1cái size 110 màu cam ạ,ordering
cho một mocha hạnh nhân size s,ordering
 ship em 1 trà sữa bạc hà pudding size L đến số nhà 8 nghách 60 ngõ 157 chùa láng với ạ .,ordering
Cho chị order cái này màu ghi size S ,ordering
cho 1 ly latte đá size regular đến 72 duy tân,ordering
 size L nhé .,ordering
 Cho mình 1 trà sữa kim cương đen size M thêm chân châu nhé .,ordering
Vậy em lấy 1 cốc vị sôcla size m là 29000 ạ .,ordering
1 mocha đá size regular  ,ordering
Dat size 35 mau den ,ordering
"Đặt cô 2 áo 2 màu giá 749y ấy nhé , size 75A ",ordering
1 tách Cà Phê Sữa Đá size small,ordering
Cho mình 1 cái màu xanh size 160 ,ordering
cho 2 cà phê sữa đá size small và 2 ly cà phê sữa đá size regular,ordering
 1 dâu size m .,ordering
Mình đặt đôi này size 43 nha ! Vao giờ hàng về bạn ?,ordering
 Mình mua 2 cốc size lớn .,ordering
cho mình 1 latte đá size small và 1 latte đá size regular,ordering
Còn order được hồng nhạt size S không chị,ordering
Cho minh dat size 160 mau xanh nhe,ordering
Đặt chị 1 đôi size 38 nhé,ordering
Minh muon lay 1 ao size 140 k mau blue . Pve 1 quang trung hk hn 0989998575,ordering
"Nữ tôi múôn lấy size l , T múôn lấy màu đen hoặc đỏ bã_trầu được không ạ ?",ordering
Shop ship cho mình áo này size m với.số điện thoại 0982933589 nhé,ordering
1 hazelnut đá xay size regular,ordering
cho thêm 1 americano nóng size small,ordering
 Đều size M hết nhé .,ordering
E đặt 2 cái,ordering
Mình cũng hay mặc size S nhưng muốn mua áo màu cam đc ko b?mình là nữ,ordering
"sample: [chị ơi, làm cho em 1 soda việt quất sz S,chị ơi, làm cho em 1 soda việt quất size S]",ordering
"Mình order 1 size L mầu navy , 1 size s màu đen . Đăng_ký chuyển khoản thế_nào bạn ?",ordering
"Chi dat mot cai green nay nhe , size M_Thanks em",ordering
1 matcha macchiato size regular,ordering
cho một toffee hạnh nhân size s,ordering
cho 1 mojito chanh leo size small,ordering
 Cho mình 1 trà sữa kim cương đen size M thêm chân châu nhé .,ordering
"cho mình áo màu đen, áo bomber size m",ordering
 2machito socola size m .,ordering
1 mocha đá xay size regular,ordering
 Bạn ship cho mình 2 cốc trà sữa size L cho mình đến số 6b ngõ 90 Hoa Bằng .,ordering
Shop oi e dat cai den size 160 va mau kem nhe,ordering
1 nước cam tươi 100% size regular,ordering
 Ship cho mình 3 hộp trà sữa kim cương đen size L đến 116 chùa láng nhé .,ordering
ship giúp c 1 áo màu xám + 1 áo màu vàng size M nhé_c đã inbox sdt & địa_chỉ e rồi,ordering
Cho mình 1 đỏ 1 xanh navy không mũ size 150 nhé . Shop đặt hộ mình không lại hết . Lần trước đã bị hụt rồi,ordering
1 espresso sữa nóng size regular,ordering
Áo này size M_Đặt được không ạ ?,ordering
cho mình 1 cà phê đen đá size s và 1 cà phê đen đá size m vào đơn hang,ordering
"Cho em đặt áo này màu trắng , size S với ạ , muốn qua shop đặt cho nhanh mà đúng hôm shop chia hàng , huhu",ordering
1 caramel machiato nóng size regular,ordering
Cho mình 1 áo vàng size M ,ordering
cho một latte nóng size regular,ordering
cho một toffee hạnh nhân nóng size s,ordering
" cho chị 1 cốc trà sữa 3 anh em, size M, ít đá ít đường nhất có thể .",ordering
"Bichngoc_Nguyen đặt hộ anh 1 áo size L , black , link dưới thấy vẫn còn",ordering
 hai cốc đều size L và có trân châu nhé,ordering
cho một mocha hạnh nhân size s,ordering
Cho mình đặt size L nhé,ordering
2 cốc Espresso Đá size regular,ordering
cho một latte nóng size regular,ordering
cho 2 trà nho đen đá size m đến 87 duy tân,ordering
1 nước cam tươi 100% size regular,ordering
cho mình đặt cái size S màu hồng nhé,ordering
cho 4 cốc latte nóng size nhỏ,ordering
 cho mình 1 macchlato socola size M .,ordering
 2machito socola size m .,ordering
 Còn lại size M hết bạn nhé .,ordering
" ok 3 toco panda, large size .",ordering
 Mình muốn mua 5 cốc trà sữa vị hokkaido size L .,ordering
cho thêm 1 trà đào cam sả size small,ordering
Thêm đôi này size w9/25cm nữa,ordering
Đặt cô 1 đôi size 42 đi nhé,ordering
1 caramel đá xay size regular,ordering
" Cho m 1 trà sữa hokkaidou thêm nhân lô hội. 1 matchiato matcha, 1 yakult xoài. Đều sz M ạ. .",ordering
 Ship cho mình 1 trà sữa milk tea size m thêm nhân rau câu nhé. .,ordering
" Cho em 1 trà xanh chanh quất mật ong,trà sữa dưa gang,yaku xoài size lớn hết .",ordering
C ord e áo đen size 160 nhé.Check cả ib e vụ đôi giày hôm trc nữa ạ.Ko thấy c rep 😐,ordering
 ship cho mình 1 2 trà sữa 3 anh em 50% đường và 1 1 trà sữa bánh Pudding. size M hết ạ .,ordering
cho mình 1 americano size small và 1 americano size medium,ordering
"chị ơi , em muốn lấy 1 cái này size 90 màu nâu ah",ordering
cho mình 1 trà sữa size s,ordering
cho một trà xanh size m,ordering
Bạn ơi muốn mua áo thì đến đâu mà hàng có sẵn đủ size chứ.tớ muốn lấy áo hoa size l ,ordering
ship cho mình 1 caramen macchiato và 1 mocha đá size s đến 82 duy tân nhé,ordering
1 cà phê sữa đá   size regular,ordering
 Đều size M hết .,ordering
 Mình mua 2 cóc size lớn .,ordering
Shop ơi em đặt cái đen size 160 và màu kem nhé,ordering
cho một cốc cà phê nâu nóng size vừa,ordering
 size M .,ordering
cho mình 1 trà chanh đá size regular và 1 latte đá size regular,ordering
Cho mình 1 cái size M nhé . Thanks shop,ordering
1 tách Cà Phê Đen Đá size small,ordering
 Cho em 3 kim cương đen trân châu đen size L với nha .,ordering
1 sinh tố việt quất size regular,ordering
cho tôi thêm 1 cà phê sữa đá   size regular,ordering
 2 size l. 1size m nhé ,ordering
"Cho minh 1 cai nay size M nhe , dia chi minh ib_a",ordering
Màu rêu size s 187 giảng võ số điện thoại 0979668266,ordering
cho 7 latte nóng size nhỏ đến 15 duy tân,ordering
Cho minh dat 1 doi size 37 ,ordering
cho một cốc lattee nóng size nhỏ,ordering
1 caramel machiato đá   size regular,ordering
Áo này size M_Đặt đc Ko ạ ?,ordering
cho mình 1 latte đá size m,ordering
1 cappucino nóng size regular,ordering
 cho e 1 trà sữa trà xanh sz M đến 185 tôn đức thắng nhé .,ordering
cho một latte nóng size nhỏ,ordering
" Cho em 2 trà sữa bạc hà, 1 dâu size lớn. Tất cả đều thêm trân châu. .",ordering
cho thêm 1 espresso size s,ordering
1 caramel machiato nóng size regular,ordering
 nếu chưa làm làm size l .,ordering
cho 5 cốc latte nóng size vừa,ordering
Em đặt 1 quần nam dài size nhỏ 52kg,ordering
 Tất cả đều size M .,ordering
Mau reu size s 187 giang vo sdt 0979668266,ordering
"Em áo_khoác chống nước 1 navy size M , 1 navy size L ",ordering
1 cappucino đá   size regular,ordering
 Ban cho minh 2 tra sua vi socola size M nha .,ordering
 all sz M c nhé .,ordering
 cho mình 3 panda size m .,ordering
Cho minh mua mau nau size S ,ordering
"Cho C dat bo mau hoa vang , size L , mang qua 17 Ngô_Quyen nhe",ordering
Cho 1 cái này size M nhé,ordering
"Cho minh cai mau cam dang ngan , size xs nhe",ordering
cho mình 1 americano size small và 1 americano size medium,ordering
cho một black tea macchiato size small,ordering
mình muốn đặt Cái này size 140cm,ordering
 Cho e 1 toco socala với 1 hokaido size M .,ordering
E đặt size M 2 áo xanh còn lại đc k_c . Ship e áo cam kia c nhé . Địa_chỉ : 21 hàng thiếc . Sđt : 01666775552,ordering
"em inbox rồi ạ , cho em thêm 1 nâu + ghi sẫm size S nhé , số điện thoại 0986.398.389 chị gửi kèm hàng cùng đơn hôm trước giúp em .",ordering
1 cookies đá xay size regular,ordering
 thôi làm esize l đi ạ .,ordering
cho một cốc latte nóng size regular,ordering
Cho mình đặt 1 đôi size 37,ordering
 Cho mình 2 trà sữa trân châu hoàng gia size M .,ordering
 em đặt 3 trà sữa vị trà xanh size vừa ạ .,ordering
cho tôi một cốc cà phê nóng size vừa tại 75 duy tân hà nội,ordering
t2 cho to 1 cai size M den 46 Tran_Phu_Ba dinh nhe,ordering
Cho mình đặt size 160 màu xanh nhé,ordering
1 mocha nóng size regular,ordering
 Tất cả đều size M .,ordering
 size L nhé .,ordering
 trà sữa 3 anh em size M .,ordering
"ôi XS hết sạch size rồi à , còn mỗi ghi sáng , cho t1 ghi sáng XS nhé .",ordering
"Shop ơi , cho tớ ỏ dẻ 2 chiếc áo lông cừu , màu hồng và màu đen đều size s ",ordering
Cho mình đặt size 150 màu hồng được không shop ?,ordering
cho mình quần_đùi đen size m áo cam size m nhé,ordering
Em order đôi đen nè size 37 ạ.Có cần cọc trước không shop ?,ordering
 Cho mk 2 trà sữa trân châu hoàng gia size M .,ordering
Mình cũng hay mặc size S nhưng muốn mua áo màu cam được không bạn?mình là nữ,ordering
"Mình 01 trăng , size S đt : 0901796682",ordering
thứ 2 cho tớ 1 cái size M đến 46 Tran_Phu_Ba dinh nhé,ordering
Ship cho mình size to nhất nhé . Vì hông mình to,ordering
Bichngoc_Nguyen cho anh đặt 1 áo size M màu 24 Brown với nhé,ordering
 hai coc deu size L và có trân trâu nhé,ordering
cho một cốc latte nóng size vừa,ordering
1 tách Cappucino Nóng size regular,ordering
 Tất cả đều size M .,ordering
 Mình muốn ship 1 macchiato matcha size M và 1trà sữa bạc hà size M. Với bánh luôn ạ .,ordering
 Cho e 4 cốc vị 3 ae size M .,ordering
cho một trà đào cam sả size lớn,ordering
size 43 chị chọn 275 nhé,ordering
"Ban oi tom lai Mih lay 4 cai , 2 mau nhu tren , 1 mau hog nhat va 1 mau hoa dam ( mau xanh ) . Tat ca deu size M nhe b . Tam 1h mih lam ve mih ck rui pm d/c . Tks b .",ordering
cho 2 cốc latte nóng size nhỏ đến 75 duy tân,ordering
cho 2 trà nho đen đá size m,ordering
cho 2 trà nho đen đá size m,ordering
 Bạn cho mình 2 trà sữa vị socola size M nha .,ordering
" Cho em 1 trà xanh chanh quất mật ong,tràsữa dưa gang,yaku xoài size lớn hết .",ordering
cho 7 latte nóng size nhỏ đến 15 duy tân,ordering
Có cần cọc không chị ơi . Em 47kg lấy size S ạ,ordering
Cho em 1 size M ,ordering
"Bạn ơi ship cho mình 3 cốc: 1 cà phê sữa đá, 1 trà nho đen đá, 1 mojito chanh tươi Tất cả đều size M nhé",ordering
Nhật_Quang mình lấy áo nam nhé size Xxl hoặc XL cũng được,ordering
1 cà phê sữa nóng size regular,ordering
Chị đặt 1 set màu ghi cổ tim size M or S cho người nặng 62kg + 1 set cổ tròn màu ghi size L hoặc XL cho người 76kg em Nhật_Quang nhé .,ordering
cho 1 mojito chanh leo size small,ordering
Cho mình màu đỏ size m . 0915276175,ordering
 cho mình 3 panda size m .,ordering
Shop cho mình 1 màu mận size S nhé . Mui Nguyen_Thi có mua áo này không ?,ordering
 lỡ rồi thì size m đi .,ordering
cho mình thêm 2 cà phê đen đá size small và 1 cà phê đen đá size regular,ordering
 Cho mình size M .,ordering
Đặt giúp mình đôi này size w10/26cm ,ordering
"Tớ order màu hồng cánh_sen size M , đặt được inform tớ chuyển khoản nhé",ordering
"Shop ơi , cho mình đặt 1 cái size XL màu nâu đỏ nhé",ordering
1 cappucino đá   size regular,ordering
cho 2 trà nho đen đá size m đến 87 duy tân,ordering
Chị lấy áo này size130 em nhé,ordering
cho một cốc latte nóng size vừa,ordering
1 tách Caramel Machiato Đá size regular,ordering
"ôi XS hết sạch size rồi à , còn mỗi ghi sáng , cho tớ 1 ghi sáng XS nhé .",ordering
1 espresso sữa đá   size regular,ordering
 B ship cho mình 2 cốc trà sữa size L cho m đến sô 6b ngõ 90 Hoa Bằng .,ordering
 Và 1 bạc hà size m ít đá và có rau câu ạ .,ordering
 cho mình 1 macchlato socola size M .,ordering
cho mình 1 tách đen nóng và 2 tách nâu nóng size small,ordering
cho mình order mẫu xám đậm ( hàng thứ 2 ở giữa ) size M ,ordering
 Ship cho mình 2 trà sữa dâu size M + topping đến 361 cầu giấy được không ạ? .,ordering
1 tách Americano Nóng size small,ordering
cho tôi một cốc cà phê nóng size vừa tại 75 duy tân hà nội,ordering
Nguyen_Ha_Thanh hihi c đặt cho em luôn 1 cái beigi nha size s,ordering
 Đều size M hết nhé .,ordering
1 espresso nóng size regular,ordering
bạn ơi mình order 1 cái màu trắng size 32 của nữ nhé^_^,ordering
Thế lấy size 260 nhé em,ordering
Cho a mua 1 cai mau xanh,ordering
cho mình màu hồng size M bạn nhé !,ordering
Tớ muốn đặt áo bé trai không mũ size 160 ,ordering
 Ship e 2 cốc hồng trà thêm bánh butding size M .,ordering
 thôi làm em size l đi ạ .,ordering
" Bạn ơi ship cho mình 3 cốc trà sữa 3 anh em, 70% đường, size M .",ordering
cho 4 cốc latte nóng size nhỏ,ordering
cho mình 1 cốc sinh tố việt quất size m,ordering
Ship cho minh size to nhất nhé . Vi hông mình to,ordering
cho mình 2 quần size M màu đen nhé,ordering
 - Cho em 1 cốc size nhỏ nữa .,ordering
cho thêm 1 trà chanh đá size s,ordering
" Ship cho m 4 cốc ba anh em size M. 3 cốc 30%đá, 1 cốc 50% đá b nhé .",ordering
 ship cho chị 2 cốc trà sữa size L có trân châu .,ordering
cô Quy đặt 1 chiếc áo sơ_mi 67 blue size L số điện thoại 01678580508,ordering
cho tôi thêm 1 cà phê sữa đá   size regular,ordering
cho một trà xanh đá xay size m,ordering
 Còn lại sz M hết b nhé .,ordering
để e màu navy size M,ordering
1 tách Americano Nóng size regular,ordering
Chi lay 3 cai nay size XL nhe,ordering
1 tách Cappucino Đá size regular,ordering
cho mình 1 latte đá size regular và 1 trà đào cam sả  size small,ordering
cho mình 1 cà phê sữa đá size small và 1 cà phê sữa đá size regular,ordering
cho 2 americano nóng medium size tới 17 duy tân nhé,ordering
"C muốn order size 130 , về trước tết kg e ?",ordering
cho 1 cốc cà phê đen size nhỏ đến 75 duy tân,ordering
cho mình 1 latte đá size m,ordering
1 toffee hạnh nhân nóng size regular,ordering
cho một cốc latte nóng size regular,ordering
